Designator,Mid X,Mid Y,Rotation,Layer
D175,141.9225,-174.805,180.0,bottom
D176,422.91,-155.65,0.0,bottom
D177,122.8725,-174.75,180.0,bottom
D178,446.7225,-155.75,0.0,bottom
D179,103.8225,-174.805,180.0,bottom
D18,459.105,-101.78,270.0,bottom
D180,475.2975,-155.695,0.0,bottom
D181,103.8225,-193.795,0.0,bottom
D182,494.3475,-155.75,0.0,bottom
D183,122.8725,-193.795,0.0,bottom
D184,494.3475,-174.805,180.0,bottom
D185,141.9225,-193.795,0.0,bottom
D186,475.2975,-174.805,180.0,bottom
D187,160.9725,-203.35,0.0,bottom
D188,246.6975,-193.795,0.0,bottom
D189,265.7475,-193.795,0.0,bottom
D19,111.4425,-130.355,270.0,bottom
D190,284.7975,-193.795,0.0,bottom
D191,303.8475,-193.85,0.0,bottom
D192,322.8975,-193.85,0.0,bottom
D193,341.9475,-193.85,0.0,bottom
D194,360.9975,-193.795,0.0,bottom
D195,380.0475,-193.795,0.0,bottom
D196,399.0975,-193.795,0.0,bottom
D197,425.29125,-193.85,0.0,bottom
D198,456.2475,-198.55,0.0,bottom
D199,475.2975,-217.65,180.0,bottom
D2,130.4925,-101.78,270.0,bottom
D20,130.4925,-130.355,270.0,bottom
D200,456.2625,-217.65,180.0,bottom
D201,437.1975,-217.705,180.0,bottom
D202,413.385,-212.85,180.0,bottom
D203,394.335,-212.905,180.0,bottom
D204,375.285,-212.95,180.0,bottom
D205,306.22875,-212.95,180.0,bottom
D206,234.79125,-212.905,180.0,bottom
D207,210.97875,-212.85,180.0,bottom
D208,187.16625,-212.905,180.0,bottom
D209,141.9225,-212.905,180.0,bottom
D21,149.5425,-130.355,270.0,bottom
D210,113.3475,-212.85,180.0,bottom
D22,168.5925,-130.355,270.0,bottom
D23,192.405,-130.355,270.0,bottom
D24,211.455,-130.355,270.0,bottom
D25,230.505,-130.355,270.0,bottom
D26,249.555,-130.355,270.0,bottom
D27,268.605,-130.355,270.0,bottom
D28,287.655,-130.355,270.0,bottom
D29,306.705,-130.355,270.0,bottom
D3,149.5425,-101.78,270.0,bottom
D30,325.755,-130.355,270.0,bottom
D31,344.805,-130.355,270.0,bottom
D32,363.855,-130.355,270.0,bottom
D33,382.905,-130.355,270.0,bottom
D34,401.955,-130.355,270.0,bottom
D35,421.005,-130.355,270.0,bottom
D36,449.58,-130.355,270.0,bottom
D37,482.9175,-130.355,270.0,bottom
D38,501.9675,-130.355,270.0,bottom
D39,111.4425,-149.405,270.0,bottom
D4,168.5925,-101.78,270.0,bottom
